sample	mCG	cov_CG	mCH	cov_CH	mCA	cov_CA	mCGlevel	mCHlevel	mCAlevel
L2-4IT_CUX2-YM1	944809797	1155464410	1192975616	22706847771	832444601	8556168335	0.8176883587439963	0.052538143032059524	0.09729175121471006
L2-4IT_CUX2-YM2	1703547334	2107589661	1844851324	41578257903	1300671653	15715900963	0.8082917493492108	0.04437057772607852	0.08276150734610607
L2-4IT_CUX2-YM3	1352352657	1659401021	1319167704	33226261172	923239905	12571632834	0.8149643394729477	0.03970256229466082	0.07343834465981987
L3-5IT_RORB_PLCH1-AF1	138286057	166992571	159887637	3284795359	113389547	1241815647	0.8280970594793705	0.04867506785831403	0.09130948484497554
L3-5IT_RORB_PLCH1-AF2	114656051	137017043	144799752	2765765639	98152008	1041855020	0.8368013824382416	0.052354310125985334	0.09420889290335233
L3-5IT_RORB_PLCH1-AF3	156302119	187367644	198512368	3727038397	140980126	1409369524	0.8342001621155037	0.05326276438680865	0.10003063327201618
L3-5IT_RORB_PLCH1-AM1	142465076	170494755	219556516	3357208637	156368493	1264368281	0.8355979983079245	0.06539853185776252	0.12367321717081259
L3-5IT_RORB_PLCH1-AM2	141609015	169956543	212731764	3316304801	149440016	1253174830	0.8332071981482937	0.06414722914970082	0.11924913621190429
L3-5IT_RORB_PLCH1-AM3	88485447	106226323	112339466	2097312673	78858856	789319141	0.8329898324730679	0.05356352795947655	0.09990744162125925
L3-5IT_RORB_PLCH1-YF1	160888884	193183275	217552082	3887164782	151792856	1467711123	0.8328302954797717	0.055966776352626466	0.1034214796231397
L3-5IT_RORB_PLCH1-YF2	141580982	170819763	183129402	3375513526	129779424	1275837501	0.8288325631267853	0.054252308749302876	0.10172096673618626
L3-5IT_RORB_PLCH1-YM1	62916402	74934813	101651198	1464281023	71114520	550654531	0.8396151198775929	0.06942055275136895	0.12914543692368163
L3-5IT_RORB_PLCH1-YM2	126327253	152771438	164749027	3015345640	117072554	1139231763	0.8269036061570619	0.054636863122597114	0.10276447497540499
L3-5IT_RORB_PLCH1-YM3	118647689	142805525	167551012	2843661832	118531543	1074462882	0.8308340241037593	0.058920863977049716	0.11031701977397856
L4-5IT_RORB_ARHGAP15-AF1	165859391	195744808	240683512	3880379135	171596335	1468270989	0.8473245992813255	0.062025772128578356	0.11686966253884078
L4-5IT_RORB_ARHGAP15-AF2	110235773	130318196	169487273	2603493029	119059367	980097969	0.8458970150262055	0.06509995268360674	0.12147700614202579
L4-5IT_RORB_ARHGAP15-AF3	138884322	164259346	217924327	3237988426	154800127	1222394596	0.8455185374961861	0.06730237985106374	0.12663678938580647
L4-5IT_RORB_ARHGAP15-AM1	161728362	190855357	271883536	3761265156	194094771	1416347399	0.8473870712468395	0.07228512873289171	0.13703895748814093
L4-5IT_RORB_ARHGAP15-AM2	63339841	74008408	108965827	1468628959	75967673	556810328	0.8558465546239017	0.07419561376087505	0.1364336636370725
L4-5IT_RORB_ARHGAP15-AM3	119572538	141274806	179341103	2777189519	126438586	1043622040	0.8463826027126167	0.0645764726436734	0.12115361802822792
L4-5IT_RORB_ARHGAP15-YF1	72113614	85761514	102618961	1712664699	71984520	646063911	0.840862184405933	0.059917718313408176	0.11142012233523442
L4-5IT_RORB_ARHGAP15-YF2	105730443	126134197	150551799	2498897659	106795216	944359557	0.8382377302485226	0.06024728482087869	0.11308745192272142
L4-5IT_RORB_ARHGAP15-YM1	54013939	63599169	87864583	1240065398	61874635	466347990	0.8492868672545076	0.07085479777252844	0.13267910729067364
L4-5IT_RORB_ARHGAP15-YM2	53153617	63235920	78156638	1233863709	55605757	465635935	0.840560507382513	0.06334300735965645	0.11941895549792565
L4-5IT_RORB_ARHGAP15-YM3	77661057	91968723	116230787	1834656584	82652364	693585877	0.844429002238076	0.06335288468351306	0.1191667344172292
L4-5IT_RORB_LRRK1-AF1	685761312	810927705	1150362910	15978187441	816562893	6040153263	0.8456503678092981	0.07199583270929535	0.13518910157495453
L4-5IT_RORB_LRRK1-AF2	851850674	1012878144	1418705415	20208979584	989907969	7609413218	0.8410198986384684	0.07020173428861434	0.13008992160635743
L4-5IT_RORB_LRRK1-AF3	744682698	883181098	1293963947	17368458643	915212992	6554909211	0.8431823322378215	0.07450079328262704	0.13962252756516477
L4-5IT_RORB_LRRK1-AM1	670986237	798600143	1114435791	15769833112	792033992	5938464224	0.8402030013160166	0.07066883860374996	0.13337353937387297
L4-5IT_RORB_LRRK1-AM2	294666323	340809537	583498738	6849177936	403952120	2609989233	0.8646070341628966	0.08519252141677751	0.15477156568024816
L4-5IT_RORB_LRRK1-AM3	335218499	396164630	584838657	7703684923	409420639	2893775327	0.8461595852209219	0.0759167415133912	0.14148321577696554
L4-5IT_RORB_LRRK1-YF1	382772933	455630579	594415311	9188620064	413717071	3467359300	0.8400949160174783	0.06469037862702079	0.11931762335677182
L4-5IT_RORB_LRRK1-YF2	582976410	696602705	930804431	13829100915	658855875	5226169684	0.8368850792791567	0.06730766061518757	0.12606859609191365
L4-5IT_RORB_LRRK1-YM1	241358202	284786449	448910565	5561361756	316074980	2092219705	0.847505921884647	0.08071954041034694	0.15107160077148782
L4-5IT_RORB_LRRK1-YM2	317406404	378222563	547798818	7435839717	388433125	2806255616	0.8392053649110299	0.07367006805534133	0.1384168722141098
L4-5IT_RORB_LRRK1-YM3	351494775	416323682	625794070	8254831854	443444806	3115960600	0.8442824422368556	0.07580942665679644	0.1423139965248598
L4-5IT_RORB_TSHZ2-AF1	568093059	679784748	643523784	13459522597	459340829	5091563646	0.8356955060721662	0.04781178376589935	0.0902160634603604
L4-5IT_RORB_TSHZ2-AF2	622954133	745032751	757363761	14930726336	527644087	5625678907	0.8361432865385537	0.05072517866554781	0.0937920730497888
L4-5IT_RORB_TSHZ2-AF3	775193706	930340594	911813114	18228911323	649123881	6878423981	0.8332364630753712	0.05002016290734468	0.09437101911615936
L4-5IT_RORB_TSHZ2-AM1	219097504	263056839	260817168	5168279644	186523147	1946069610	0.8328903549243971	0.05046498757140394	0.0958460817853273
L4-5IT_RORB_TSHZ2-AM2	361726933	426765464	508526061	8495499515	350545850	3229308739	0.847601231856006	0.059858288509360244	0.10855135830355798
L4-5IT_RORB_TSHZ2-AM3	427951917	511444728	512018539	10067325705	360307748	3785673858	0.8367510574867046	0.05085943914039682	0.09517664794038895
L4-5IT_RORB_TSHZ2-YF1	504340681	610819655	537762554	12224570206	375367979	4614188350	0.8256785400921651	0.043990303539347186	0.08135081416865005
L4-5IT_RORB_TSHZ2-YF2	468293508	567363845	506098383	11268120697	357986599	4261405037	0.8253848251469037	0.04491417838067199	0.08400670574417402
L4-5IT_RORB_TSHZ2-YM1	222309997	266422272	283565019	5237176838	198650866	1972957881	0.8344272246128132	0.05414463321965834	0.10068682555925278
L4-5IT_RORB_TSHZ2-YM2	295876566	357751633	339479757	7022654315	240984034	2650501651	0.827044627354643	0.04834066177440773	0.09092015992862326
L4-5IT_RORB_TSHZ2-YM3	371474307	448344205	428567326	8923751142	303112581	3372276741	0.8285471360112706	0.048025468122136476	0.08988366147854056
L56NP_TLE4_TSHZ2-AF1	93121380	107677940	159445450	2117359985	113336885	799538987	0.8648139071011203	0.07530389311669172	0.14175279360079535
L56NP_TLE4_TSHZ2-AF2	192577954	224027092	325024404	4471125466	227682842	1684139467	0.8596190410756214	0.0726940915596306	0.1351923914030571
L56NP_TLE4_TSHZ2-AF3	195574704	228238088	331096238	4459738099	234311612	1680767761	0.8568889869073912	0.07424118426914826	0.1394074883139075
L56NP_TLE4_TSHZ2-AM1	207839922	241799322	325935905	4750315306	232812583	1786573181	0.8595554374631373	0.06861353068254623	0.13031236865969723
L56NP_TLE4_TSHZ2-AM2	11341482	12938603	20181805	263824645	13918872	101180543	0.8765615576890333	0.0764970421925518	0.13756470945209298
L56NP_TLE4_TSHZ2-AM3	71404555	82550506	132074784	1616463503	92903970	607531900	0.8649802219261987	0.08170601053155978	0.15292031578917914
L56NP_TLE4_TSHZ2-YF1	99128096	114980505	161804897	2321935060	113076178	876162568	0.8621295931862536	0.069685367083436	0.12905844432285768
L56NP_TLE4_TSHZ2-YF2	104059458	120976239	178831642	2390928027	126951022	902825504	0.8601644327858465	0.07479591187208916	0.14061523676229687
L56NP_TLE4_TSHZ2-YM1	35963491	41393610	76333429	803522231	53812486	301880785	0.8688174575737656	0.09499852780053325	0.1782574071416967
L56NP_TLE4_TSHZ2-YM2	71338648	83317320	116831736	1639386404	83173610	619033778	0.8562283088318251	0.0712655269770067	0.1343603741119277
L56NP_TLE4_TSHZ2-YM3	69961942	81035615	118691557	1616854862	84436920	610487099	0.8633480723259767	0.07340891244448632	0.1383107360308035
L6IT_THEMIS_CUX1-AF1	68701550	82929255	81012782	1637618075	57298099	619415043	0.8284356346864565	0.04946988753772762	0.0925035638826098
L6IT_THEMIS_CUX1-AF2	118751096	144178435	135691797	2919274095	94353959	1102209246	0.8236397905137478	0.04648134864499594	0.08560439802371246
L6IT_THEMIS_CUX1-AF3	49491855	59891193	71877051	1176576859	50831025	443876555	0.8263628176516704	0.06108997508338722	0.11451612937745721
L6IT_THEMIS_CUX1-AM1	145078210	174842529	216030910	3468895831	153423163	1307442398	0.8297649938476925	0.062276563069270215	0.11734602092963486
L6IT_THEMIS_CUX1-AM2	22404866	26742280	37023463	534288635	25510506	202988027	0.8378068736098792	0.06929487279848279	0.1256749295858716
L6IT_THEMIS_CUX1-AM3	66962418	81059347	79246788	1593899387	55110826	599948958	0.8260912587909202	0.049718814528912296	0.09185919112805593
L6IT_THEMIS_CUX1-YF1	46578333	56317581	62319115	1128183224	43412985	425962858	0.8270655836585027	0.05523846984627738	0.10191730143758215
L6IT_THEMIS_CUX1-YF2	118809407	143893671	165318674	2866490129	116474480	1083436473	0.8256750013695877	0.057672856545880676	0.10750466954235535
L6IT_THEMIS_CUX1-YM1	20662796	24759914	35298410	483112758	24753895	181786486	0.8345261619244719	0.07306453703712788	0.13617016063559312
L6IT_THEMIS_CUX1-YM2	43099291	52280711	58137821	1027150401	41172400	387640237	0.8243822659565591	0.05660107900790276	0.1062129161787712
L6IT_THEMIS_CUX1-YM3	42098179	50959053	53499508	1009619312	37652787	381351928	0.826117765571507	0.05298978274694492	0.0987350115088444
L6IT_THEMIS_LINC00343-AF1	209610013	252336622	267287745	4998817630	189449930	1891061903	0.830676147356843	0.05347019331049291	0.10018177072863384
L6IT_THEMIS_LINC00343-AF2	349975794	423778302	444251308	8529710115	306407750	3214257922	0.8258464209901903	0.05208281430558323	0.0953276798052798
L6IT_THEMIS_LINC00343-AF3	297467869	360733184	375204030	7118682490	265563152	2687997979	0.8246201962944446	0.052706948304980517	0.0987958897568799
L6IT_THEMIS_LINC00343-AM1	576767973	695722553	734733815	13836252888	523796267	5216370138	0.8290200892768816	0.05310208052334928	0.10041393788072484
L6IT_THEMIS_LINC00343-AM2	51250673	61243173	74226288	1213135843	51176002	460410647	0.8368389567274707	0.06118547104868618	0.1111529508134941
L6IT_THEMIS_LINC00343-AM3	101178836	122342527	127465717	2400222139	88528488	901606843	0.8270128015256706	0.05310580005445071	0.09818968066550045
L6IT_THEMIS_LINC00343-YF1	71179713	85669464	91660783	1777246176	62308651	672798962	0.8308644606437599	0.05157461258760362	0.09261109858846661
L6IT_THEMIS_LINC00343-YF2	284162809	347780028	390245811	6943553621	275322286	2626738916	0.8170762727064936	0.05620260637431319	0.10481524613008018
L6IT_THEMIS_LINC00343-YM1	38556568	46623716	57395911	915920406	40217586	344945501	0.8269732940205796	0.06266473661249557	0.1165911307247344
